CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"16,860","10,659","1,09,000",10.26,58.30,-17.50,"3,200",58.40,58.55,400,"21,850.00",700,248.00,248.80,350,9.30,250.35,13.06,"9,139","1,003","1,500",
,"51,966","31,661","2,12,613",10.29,45.00,-15.05,"3,650",45.00,45.15,800,"21,900.00",900,284.50,285.25,200,7.30,285.00,13.13,"17,785","1,763","3,939",
,"12,420","5,665","75,828",10.37,34.80,-13.15,"1,750",34.75,34.90,"1,600","21,950.00",150,324.00,325.30,50,15.10,326.40,13.79,"2,310",314,504,
,"53,142","22,964","2,15,750",10.46,26.55,-10.45,"2,050",26.50,26.60,"1,200","22,000.00","2,950",366.50,367.00,750,16.00,367.30,13.97,"10,720",807,"3,092",
,"11,835","8,048","47,785",10.53,19.90,-9.25,900,19.90,19.95,100,"22,050.00",100,408.15,409.85,50,23.55,411.05,14.67,691,109,277,
,"32,852","17,631","1,33,188",10.58,14.70,-7.50,"9,650",14.60,14.70,"1,200","22,100.00",100,453.10,454.95,100,22.55,457.25,14.94,"1,362",64,653,
,"9,497","4,984","39,322",10.65,10.80,-6.20,"1,000",10.80,10.90,"3,000","22,150.00",450,498.25,501.05,100,-42.40,503.00,15.53,271,24,83,
,"39,998","24,897","1,57,879",10.79,8.10,-5.20,"2,750",8.05,8.15,"10,300","22,200.00",100,545.45,547.85,200,20.90,548.00,16.81,"1,842",958,"1,305",
,"18,714","14,234","53,294",10.88,5.90,-4.05,"5,550",5.80,5.90,"6,500","22,250.00",50,593.25,597.10,150,24.75,582.00,14.24,2,-,17,
,"54,900","39,778","1,54,187",11.15,4.55,-3.15,"3,600",4.55,4.60,"11,000","22,300.00",100,642.55,644.95,400,19.45,644.00,17.93,168,61,106,
,"6,520","3,782","21,770",11.45,3.70,-2.30,"3,250",3.65,3.70,400,"22,350.00","1,800",680.20,719.10,400,-,-,-,-,-,4,
,"19,002","12,407","51,487",11.79,3.20,-1.65,"3,000",3.20,3.25,"34,000","22,400.00",300,739.65,743.70,500,-400.10,733.10,17.20,22,9,9,
,"4,098","2,452","12,666",12.22,2.80,-1.15,850,2.70,2.75,"2,150","22,450.00","1,800",772.70,818.10,350,-,-,-,-,-,-,
,"46,866","23,101","87,331",12.66,2.40,-1.05,"21,750",2.40,2.45,"8,300","22,500.00",250,839.55,842.45,400,22.85,843.25,20.39,232,119,265,
,"2,662",816,"7,105",13.02,2.15,-0.80,"12,550",2.10,2.20,"4,450","22,550.00","1,800",871.55,917.60,300,-,-,-,-,-,-,
,"17,536","8,755","29,660",13.38,1.80,-0.65,"18,600",1.80,1.85,"7,150","22,600.00",350,921.30,967.40,300,-,-,-,-,-,9,
,"3,317","1,856","7,243",13.84,1.70,-0.70,"7,900",1.65,1.75,"6,550","22,650.00",350,979.85,"1,018.15",250,-,-,-,-,-,-,
,"10,778","7,329","25,162",14.33,1.65,-0.45,"16,800",1.60,1.65,"16,700","22,700.00",300,"1,029.65","1,065.50",250,-,-,-,-,-,-,
,928,36,"2,198",14.98,1.60,-0.50,"1,600",1.55,1.65,"5,250","22,750.00",300,"1,079.50","1,117.15",250,-,-,-,-,-,-,
,"9,476","6,725","18,816",15.52,1.55,-0.30,"13,450",1.50,1.55,"7,800","22,800.00",300,"1,129.35","1,167.10",250,-,-,-,-,-,1,
,793,452,"1,487",15.91,1.45,-0.50,"1,700",1.35,1.50,"1,000","22,850.00",250,"1,173.25","1,218.00",200,-,-,-,-,-,1,
,"2,714","1,315","6,970",16.49,1.40,-0.35,"5,600",1.40,1.45,"5,950","22,900.00",250,"1,223.15","1,267.05",200,-,-,-,-,-,1,
,779,324,"2,463",17.07,1.45,-0.30,"4,250",1.35,1.45,"3,900","22,950.00","1,800","1,269.55","1,317.00",200,-,-,-,-,-,-,
,"24,743","14,765","48,741",17.64,1.40,-0.20,"29,750",1.35,1.45,"21,200","23,000.00","1,000","1,336.00","1,343.05","1,250",37.15,"1,351.25",31.58,97,55,89,
,"2,345","2,015","3,520",17.97,1.35,-0.15,"29,150",1.30,1.35,"3,050","23,050.00","1,800","1,369.30","1,417.00","1,800",-,-,-,-,-,-,
,"5,137","4,530","9,041",18.62,1.30,-0.15,"2,100",1.30,1.40,"8,700","23,100.00","1,800","1,419.20","1,466.90",200,-,-,-,-,-,-,
,495,109,887,19.09,1.30,-0.25,550,1.25,1.35,"1,150","23,150.00","1,800","1,476.60","1,522.05","1,800",-,-,-,-,-,-,
,"5,259","4,564","6,644",19.73,1.35,-0.05,"3,350",1.30,1.35,"2,300","23,200.00","1,800","1,511.10","1,570.95",200,-,-,-,-,-,-,
,610,61,454,20.11,1.25,-0.10,"1,200",1.10,1.30,"1,050","23,250.00","1,800","1,560.95","1,614.45",200,-,-,-,-,-,-,
,"9,504","6,537","11,704",20.65,1.25,-0.15,"3,200",1.25,1.30,"5,400","23,300.00","1,800","1,610.85","1,666.15",200,-,-,-,-,-,-,
,322,203,522,21.20,1.15,-0.15,"3,800",1.15,1.25,"1,150","23,350.00",200,"1,665.95","1,720.10",200,-,-,-,-,-,-,
,"10,747","9,851","17,481",21.74,1.25,-,"8,450",1.20,1.25,"18,650","23,400.00",200,"1,710.75","1,790.55",150,-,-,-,-,-,-,
,"5,735","4,878","8,282",21.96,1.10,-0.20,"25,350",1.10,1.15,"1,500","23,450.00",150,"1,760.65","1,825.00",150,-,-,-,-,-,-,
